"","FID1","IID1","FID2","IID2","NSNP","HETHET","IBS0","KINSHIP"
"267",0,"LO04M",0,"E33M",911431,0.0508749,0.0544177,-0.207706
"268",0,"LO04M",0,"E34M",1160015,0.0441727,0.052626,-0.285565
"269",0,"LO04M",0,"E35M",1167650,0.060036,0.0360879,-0.0679502
"270",0,"LO04M",0,"E36F",1107426,0.0440941,0.055713,-0.309031
"271",0,"LO04M",0,"E37F",1160580,0.0331343,0.0640585,-0.609861
"272",0,"LO04M",0,"LAO01M",1164538,0.0665835,0.00885416,0.175841
"273",0,"LO04M",0,"LAO03M",1123149,0.050524,0.0125611,0.0613901
"274",0,"LO04M",0,"LAO06M",1160134,0.0631125,0.000249971,0.22292
"275",0,"LO04M",0,"LO01F",1160529,0.0614573,0.0319734,-0.0426586
"276",0,"LO04M",0,"LO03M",1141772,0.0467037,0.0536534,-0.254939
"277",0,"OF289",0,"E10F",1114061,0.0464113,0.0517539,-0.3973
"278",0,"OF289",0,"E13M",1111863,0.0561364,0.0455191,-0.218482
"279",0,"OF289",0,"E14F",1141159,0.0405316,0.058154,-0.620257
"280",0,"OF289",0,"E18F",1135170,0.0623228,0.0452346,-0.155305
"281",0,"OF289",0,"E19M",1075907,0.0585227,0.0476956,-0.215191
"282",0,"OF289",0,"E24M",1133624,0.0536104,0.0454683,-0.238255
"283",0,"OF289",0,"E25F",1070259,0.0582971,0.0448536,-0.202039
"284",0,"OF289",0,"E27M",1000696,0.063148,0.041676,-0.116676
"285",0,"OF289",0,"E28F",1068155,0.0573494,0.0466814,-0.202142
"286",0,"OF289",0,"E29M",1132696,0.0553211,0.0459788,-0.217605
"287",0,"OF289",0,"E30M",1122858,0.0619945,0.0398964,-0.111279
"288",0,"OF289",0,"E31M",1139401,0.0530244,0.0453238,-0.246599
"289",0,"OF289",0,"E32M",1090357,0.0538594,0.0469516,-0.241596
"290",0,"OF289",0,"E33M",890182,0.0632803,0.0473746,-0.164185
"291",0,"OF289",0,"E34M",1134518,0.0529502,0.047956,-0.27017
"292",0,"OF289",0,"E35M",1141974,0.0681058,0.0290444,0.0072578
"293",0,"OF289",0,"E36F",1082481,0.0550181,0.0508785,-0.282947
"294",0,"OF289",0,"E37F",1135119,0.0427391,0.0560162,-0.550689
"295",0,"OF289",0,"LAO01M",1138825,0.0850842,0.0111422,0.173976
"296",0,"OF289",0,"LAO03M",1098111,0.0664842,0.000356066,0.175099
"297",0,"OF289",0,"LAO06M",1134622,0.073948,0.00419435,0.172571
"298",0,"OF289",0,"LO01F",1134956,0.0735606,0.0255975,0.0551433
"299",0,"OF289",0,"LO03M",1116699,0.0580935,0.0435355,-0.187694
"300",0,"OF289",0,"LO04M",1125167,0.098133,0.000316397,0.30169
"301",0,"OF304",0,"E10F",1133615,0.0458471,0.0472938,-0.354645
"302",0,"OF304",0,"E13M",1131498,0.054746,0.0403774,-0.178657
"303",0,"OF304",0,"E14F",1161157,0.039601,0.0520644,-0.553061
"304",0,"OF304",0,"E18F",1155028,0.0617812,0.0373697,-0.0965018
"305",0,"OF304",0,"E19M",1095342,0.0575199,0.0433956,-0.181689
"306",0,"OF304",0,"E24M",1153487,0.0538264,0.0415185,-0.201465
"307",0,"OF304",0,"E25F",1089087,0.0565648,0.0394477,-0.163025
"308",0,"OF304",0,"E27M",1019007,0.0629495,0.0368722,-0.0803311
"309",0,"OF304",0,"E28F",1087221,0.0587949,0.0422757,-0.15984
"310",0,"OF304",0,"E29M",1152565,0.0559292,0.0432132,-0.189902
"311",0,"OF304",0,"E30M",1142523,0.0647532,0.0348221,-0.0620327
"312",0,"OF304",0,"E31M",1159576,0.0546407,0.0409917,-0.200942
"313",0,"OF304",0,"E32M",1109685,0.0569937,0.0425355,-0.190572
"314",0,"OF304",0,"E33M",906775,0.0619459,0.0405801,-0.117208
"315",0,"OF304",0,"E34M",1154429,0.0528192,0.0406279,-0.206138
"316",0,"OF304",0,"E35M",1162034,0.0676211,0.0205407,0.0651453
"317",0,"OF304",0,"E36F",1101933,0.0554825,0.0447114,-0.226637
"318",0,"OF304",0,"E37F",1155026,0.0410597,0.049592,-0.487015
"319",0,"OF304",0,"LAO01M",1158863,0.0960217,0.000205374,0.299462
"320",0,"OF304",0,"LAO03M",1117738,0.066385,0.0226905,-0.0162823
"321",0,"OF304",0,"LAO06M",1154671,0.0793369,0.000200057,0.235486
"322",0,"OF304",0,"LO01F",1155018,0.0742162,0.0217477,0.0852902
"323",0,"OF304",0,"LO03M",1136238,0.0571324,0.0413866,-0.170972
